#    row  column               value [au]
     113       2  -4.4818894656220489E-05
     124       2   1.1535260518448901E-05
     137       2   3.3955074099270932E-05
     143       2   7.2021584650052946E-05
       2       3   7.1780429414874125E-01
       3       3   1.0584516535197435E-14
       4       3   8.7870650349565205E-01
      11       3  -6.8077946655866542E-02
      12       3  -4.8967269289388091E-02
      13       3   2.4326955177901926E-15
      16       3  -3.8538847485865557E-03
      21       3  -2.6686770658864156E-03
      28       3  -3.0323721372376819E-03
      33       3  -1.0543980390649080E-15
      38       3  -2.0919398770495902E-03
      44       3   1.2224778579383999E-04
      46       3  -1.1550636282855896E-06
      48       3   1.2759373781910978E-03
      58       3   4.8360057874106271E-04
      59       3  -4.9989041490391457E-05
      63       3   8.7888713767396529E-05
      70       3   2.0240290383736897E-03
      78       3   6.6552904579551949E-04
      79       3   6.7495628980586219E-05
      84       3   5.4018374942042802E-04
     108       3  -5.4482657190264752E-04
     120       3  -1.0637732969430150E-04
     130       3  -1.1571439935331121E-03
       2       4  -6.2419320146305540E-15
       3       4   8.7870650349565205E-01
       5       4   1.0097245528082468E+00
       8       4   1.0285002496079387E-15
      12       4  -3.3482634297119998E-15
      13       4  -6.2595615692308287E-02
      15       4  -4.5903492013102808E-02
      26       4  -1.6657593649550995E-02
      33       4  -3.0577884880825523E-02
      35       4  -8.2716039714435773E-03
      45       4  -6.3650439037233296E-03
      54       4  -6.3348440023434510E-03
      60       4   2.4601665275449684E-03
      77       4   1.0415543111037412E-03
      93       4   5.4978585055393478E-03
     101       4   1.1123671371222849E-02
       2       5  -2.1400707650994686E-15
       4       5   1.0097245528082468E+00
       5       5  -2.0646749824113360E-15
       8       5   1.0578211047895734E+00
      16       5  -3.6122429426079516E-03
      21       5  -4.1923535797663281E-03
      48       5  -2.8804561270552087E-02
      58       5  -7.5367472193962615E-03
      70       5  -7.5776645955649119E-02
       1       6  -7.2362223864433209E-02
       7       6   1.4556593245104000E-15
       9       6   5.0505954772934414E-01
      10       6   1.0744902593437672E-03
      11       6  -1.3034539293665009E-15
      14       6  -8.1340705586314288E-02
      19       6  -1.3229112127416721E-02
      22       6  -1.3792147750568467E-04
      23       6  -5.9413517547981631E-02
      24       6   5.5033512682545031E-04
      31       6  -6.0628740842388334E-05
      34       6  -5.3165158012660188E-04
      37       6  -9.4684159480265735E-05
      39       6  -6.3467250738261896E-04
      40       6  -1.8492621196450031E-04
      49       6  -1.4007819601217536E-06
      51       6  -4.9217663587282759E-05
      52       6  -1.4327414088265633E-04
      53       6   1.5806225753736938E-06
      57       6  -1.0496147273375053E-03
      68       6  -2.0447170849920079E-06
      69       6  -5.9287417349064223E-06
      72       6  -3.3787362224358820E-07
      74       6  -3.0128397928165086E-05
      83       6  -4.7194915902891645E-05
      85       6   4.0560555060628754E-07
      89       6  -4.3537346803121053E-06
      90       6   1.0115835620893180E-05
      98       6  -5.3746473814703667E-06
     102       6  -4.5458176122179734E-06
     107       6   2.7986232635046601E-06
     113       6  -3.3846978030338522E-06
     115       6  -6.5111416330100578E-07
     121       6  -5.0768717491299096E-08
     124       6   4.8351165664717250E-07
     129       6   1.4302205507597429E-06
     136       6   8.4414588221118468E-07
     137       6   3.0631372879333721E-06
     140       6   2.6637971926837383E-06
     143       6   4.3989675058741328E-06
     147       6  -2.3536374810062686E-06
     150       6  -3.0655817514122525E-06
       1       7  -5.0854705804310667E-02
       6       7   1.4556593245103996E-15
       7       7   1.4093821889800605E-15
       9       7  -1.4285021792252387E-03
      10       7   5.0546922742650158E-01
      12       7   1.7714542205339404E-15
      13       7   1.0247303845858000E-15
      14       7   6.4568758375347134E-03
      16       7  -1.0188957527797950E-15
      19       7  -7.3341054085624649E-02
      22       7  -4.1782786166378732E-06
      23       7  -5.1413955464351332E-02
      24       7   4.0748708794983912E-03
      31       7  -1.5399407389548114E-04
      34       7   7.2931776176101226E-05
      37       7  -1.1547914190319367E-04
      39       7  -7.6802622843891632E-04
      40       7  -2.1760503164080149E-03
      49       7  -1.7618905366316112E-07
