# generated by tm_en_gh [RWA]; det_c =  200.000 MHz, det_1 =    0.000 MHz, det_2 = -100.000 MHz, alpha_1 =  -290.00 MHz, alpha_2 =  -310.00 MHz, J_qubit =     0.00 MHz, g_1 =    70.00 MHz, g_2 =    70.00 MHz, gamma_1 =     0.01 MHz, gamma_2 =     0.01 MHz, kappa =     0.05 MHz
#    row  column           Re.value [GHz]           Im.value [GHz]      i,  j,  n (row)          i,  j,  n (col)
      39      63   0.0000000000000000E+00   0.0000000000000000E+00      1      1      2          2      0      2
      39      68   1.3999999999999999E-01   0.0000000000000000E+00      1      1      2          2      1      1
      40      40   5.0000000000000155E-01  -8.7000000000000001E-05      1      1      3          1      1      3
      40      45   1.7146428199482242E-01   0.0000000000000000E+00      1      1      3          1      2      2
      40      64   0.0000000000000000E+00   0.0000000000000000E+00      1      1      3          2      0      3
      40      69   1.7146428199482242E-01   0.0000000000000000E+00      1      1      3          2      1      2
      41      41   7.0000000000000207E-01  -1.1200000000000001E-04      1      1      4          1      1      4
      41      46   1.9798989873223330E-01   0.0000000000000000E+00      1      1      4          1      2      3
      41      65   0.0000000000000000E+00   0.0000000000000000E+00      1      1      4          2      0      4
      41      70   1.9798989873223330E-01   0.0000000000000000E+00      1      1      4          2      1      3
      42      42   9.0000000000000246E-01  -5.0000119999999999E+00      1      1      5          1      1      5
      42      47   2.2135943621178653E-01   0.0000000000000000E+00      1      1      5          1      2      4
      42      66   0.0000000000000000E+00   0.0000000000000000E+00      1      1      5          2      0      5
      42      71   2.2135943621178653E-01   0.0000000000000000E+00      1      1      5          2      1      4
      43      43  -5.0999999999999979E-01  -1.8000000000000000E-05      1      2      0          1      2      0
      43      67   0.0000000000000000E+00   0.0000000000000000E+00      1      2      0          2      1      0
      44      44  -3.0999999999999928E-01  -4.3000000000000002E-05      1      2      1          1      2      1
      44      49   1.2124355652982138E-01   0.0000000000000000E+00      1      2      1          1      3      0
      44      68   0.0000000000000000E+00   0.0000000000000000E+00      1      2      1          2      1      1
      44      73   9.8994949366116650E-02   0.0000000000000000E+00      1      2      1          2      2      0
      45      45  -1.0999999999999879E-01  -6.7999999999999999E-05      1      2      2          1      2      2
      45      50   1.7146428199482242E-01   0.0000000000000000E+00      1      2      2          1      3      1
      45      69   0.0000000000000000E+00   0.0000000000000000E+00      1      2      2          2      1      2
      45      74   1.3999999999999999E-01   0.0000000000000000E+00      1      2      2          2      2      1
      46      46   9.0000000000001690E-02  -9.3000000000000011E-05      1      2      3          1      2      3
      46      51   2.0999999999999994E-01   0.0000000000000000E+00      1      2      3          1      3      2
      46      70   0.0000000000000000E+00   0.0000000000000000E+00      1      2      3          2      1      3
      46      75   1.7146428199482242E-01   0.0000000000000000E+00      1      2      3          2      2      2
      47      47   2.9000000000000214E-01  -1.1800000000000001E-04      1      2      4          1      2      4
      47      52   2.4248711305964277E-01   0.0000000000000000E+00      1      2      4          1      3      3
      47      71   0.0000000000000000E+00   0.0000000000000000E+00      1      2      4          2      1      4
      47      76   1.9798989873223330E-01   0.0000000000000000E+00      1      2      4          2      2      3
      48      48   4.9000000000000260E-01  -5.0000179999999999E+00      1      2      5          1      2      5
      48      53   2.7110883423451915E-01   0.0000000000000000E+00      1      2      5          1      3      4
      48      72   0.0000000000000000E+00   0.0000000000000000E+00      1      2      5          2      1      5
      48      77   2.2135943621178653E-01   0.0000000000000000E+00      1      2      5          2      2      4
      49      49  -1.2299999999999995E+00  -2.2500000000000001E-05      1      3      0          1      3      0
      49      73   0.0000000000000000E+00   0.0000000000000000E+00      1      3      0          2      2      0
      50      50  -1.0299999999999991E+00  -4.7500000000000003E-05      1      3      1          1      3      1
      50      55   1.3999999999999999E-01   0.0000000000000000E+00      1      3      1          1      4      0
      50      74   0.0000000000000000E+00   0.0000000000000000E+00      1      3      1          2      2      1
      50      79   9.8994949366116650E-02   0.0000000000000000E+00      1      3      1          2      3      0
      51      51  -8.2999999999999852E-01  -7.2500000000000000E-05      1      3      2          1      3      2
      51      56   1.9798989873223330E-01   0.0000000000000000E+00      1      3      2          1      4      1
      51      75   0.0000000000000000E+00   0.0000000000000000E+00      1      3      2          2      2      2
      51      80   1.3999999999999999E-01   0.0000000000000000E+00      1      3      2          2      3      1
      52      52  -6.2999999999999812E-01  -9.7500000000000012E-05      1      3      3          1      3      3
      52      57   2.4248711305964277E-01   0.0000000000000000E+00      1      3      3          1      4      2
      52      76   0.0000000000000000E+00   0.0000000000000000E+00      1      3      3          2      2      3
      52      81   1.7146428199482242E-01   0.0000000000000000E+00      1      3      3          2      3      2
      53      53  -4.2999999999999761E-01  -1.2250000000000000E-04      1      3      4          1      3      4
      53      58   2.7999999999999997E-01   0.0000000000000000E+00      1      3      4          1      4      3
      53      77   0.0000000000000000E+00   0.0000000000000000E+00      1      3      4          2      2      4
      53      82   1.9798989873223330E-01   0.0000000000000000E+00      1      3      4          2      3      3
      54      54  -2.2999999999999712E-01  -5.0000225000000000E+00      1      3      5          1      3      5
      54      59   3.1304951684997051E-01   0.0000000000000000E+00      1      3      5          1      4      4
      54      78   0.0000000000000000E+00   0.0000000000000000E+00      1      3      5          2      2      5
      54      83   2.2135943621178653E-01   0.0000000000000000E+00      1      3      5          2      3      4
      55      55  -2.2599999999999993E+00  -5.0000060000000000E+00      1      4      0          1      4      0
      55      79   0.0000000000000000E+00   0.0000000000000000E+00      1      4      0          2      3      0
      56      56  -2.0599999999999987E+00  -5.0000309999999999E+00      1      4      1          1      4      1
      56      80   0.0000000000000000E+00   0.0000000000000000E+00      1      4      1          2      3      1
      56      85   9.8994949366116650E-02   0.0000000000000000E+00      1      4      1          2      4      0
      57      57  -1.8599999999999983E+00  -5.0000559999999998E+00      1      4      2          1      4      2
      57      81   0.0000000000000000E+00   0.0000000000000000E+00      1      4      2          2      3      2
      57      86   1.3999999999999999E-01   0.0000000000000000E+00      1      4      2          2      4      1
      58      58  -1.6599999999999979E+00  -5.0000809999999998E+00      1      4      3          1      4      3
      58      82   0.0000000000000000E+00   0.0000000000000000E+00      1      4      3          2      3      3
      58      87   1.7146428199482242E-01   0.0000000000000000E+00      1      4      3          2      4      2
      59      59  -1.4599999999999973E+00  -5.0001059999999997E+00      1      4      4          1      4      4
      59      83   0.0000000000000000E+00   0.0000000000000000E+00      1      4      4          2      3      4
      59      88   1.9798989873223330E-01   0.0000000000000000E+00      1      4      4          2      4      3
      60      60  -1.2599999999999969E+00  -1.0000005999999999E+01      1      4      5          1      4      5
      60      84   0.0000000000000000E+00   0.0000000000000000E+00      1      4      5          2      3      5
      60      89   2.2135943621178653E-01   0.0000000000000000E+00      1      4      5          2      4      4
      61      61  -2.8999999999999998E-01  -1.2000000000000000E-05      2      0      0          2      0      0
      62      62  -8.9999999999999511E-02  -3.7000000000000005E-05      2      0      1          2      0      1
      62      67   6.9999999999999993E-02   0.0000000000000000E+00      2      0      1          2      1      0
      62      91   1.2124355652982138E-01   0.0000000000000000E+00      2      0      1          3      0      0
      63      63   1.1000000000000097E-01  -6.2000000000000003E-05      2      0      2          2      0      2
      63      68   9.8994949366116650E-02   0.0000000000000000E+00      2      0      2          2      1      1
      63      92   1.7146428199482242E-01   0.0000000000000000E+00      2      0      2          3      0      1
      64      64   3.1000000000000144E-01  -8.7000000000000001E-05      2      0      3          2      0      3
      64      69   1.2124355652982138E-01   0.0000000000000000E+00      2      0      3          2      1      2
      64      93   2.0999999999999994E-01   0.0000000000000000E+00      2      0      3          3      0      2
      65      65   5.1000000000000190E-01  -1.1200000000000001E-04      2      0      4          2      0      4
      65      70   1.3999999999999999E-01   0.0000000000000000E+00      2      0      4          2      1      3
      65      94   2.4248711305964277E-01   0.0000000000000000E+00      2      0      4          3      0      3
      66      66   7.1000000000000230E-01  -5.0000119999999999E+00      2      0      5          2      0      5
