#        t [ns]             Re[<00|Psi>]             Im[<00|Psi>]             Re[<01|Psi>]             Im[<01|Psi>]             Re[<10|Psi>]             Im[<10|Psi>]             Re[<11|Psi>]             Im[<11|Psi>]
       0.475238   9.8770198830226774E-01   2.5947994681222329E-03  -7.2265784582549505E-03  -3.7802778383993374E-02  -1.0410368677458254E-02  -3.6443004566321824E-02  -1.3728793849662997E-03   6.9693351676685061E-04
       0.500250   9.8501542481153781E-01   3.4307833285612543E-03  -3.8115302624800007E-02  -1.8863108175546137E-02  -3.9120030522077506E-02  -1.4900957810901895E-02   1.2850461220640346E-03   1.3773723278085565E-03
       0.525263   9.8210177515153807E-01   4.4441020781313791E-03  -4.1671324680985514E-02   2.0720728388145343E-02  -3.8704791968018015E-02   2.4460086231180046E-02   1.1649125448932392E-03  -1.9375261430700820E-03
       0.550275   9.7901679192036350E-01   5.6491206907931246E-03  -9.5243587097132085E-03   4.9566863237702659E-02  -4.0075664227294701E-03   4.9462502588259676E-02  -2.5720523331080403E-03  -6.9812481580472418E-04
       0.575288   9.7582922649068671E-01   7.0565563199788952E-03   3.6126002800024572E-02   4.0523388127988579E-02   3.9864107502311119E-02   3.5427695384281789E-02   2.6598043816170359E-05   3.0897239010353444E-03
       0.600300   9.7261821432952555E-01   8.6725895983951994E-03   5.7786795228557439E-02  -4.2561168433200283E-03   5.5762895322012049E-02  -1.1141891417268485E-02   3.3900615440905098E-03  -9.7274572534461251E-04
       0.625313   9.6946975087873988E-01   1.0498111815166940E-02   3.3797715116413281E-02  -5.1265592832567652E-02   2.6247390747563819E-02  -5.4162971713259317E-02  -2.0644130203863274E-03  -3.3879947051112616E-03
       0.650325   9.6647242355357177E-01   1.2528195431501082E-02  -2.0925295751323049E-02  -6.1161759140491816E-02  -2.8630106393271786E-02  -5.6419283079805649E-02  -3.0294024234341372E-03   3.1944063662450659E-03
       0.675338   9.6371265905206682E-01   1.4751884475195248E-02  -6.3974053240509962E-02  -2.1957560903040966E-02  -6.4990518601486316E-02  -1.1954254040256332E-02   4.2383824644437601E-03   2.3020073927929418E-03
       0.700350   9.6126983648831377E-01   1.7152391763558140E-02  -5.8949682698527739E-02   3.8440463719108746E-02  -5.0858939004900190E-02   4.6049198789980372E-02   1.2394344547483746E-03  -5.0723381767085740E-03
